method,split,n_videos,mae,rmse,oboa,event_precision,event_recall,event_f1,event_tp,event_fp,event_fn
baseline_peak,overall,40,8.55,14.106735979665885,0.4,0.15654205607476634,0.250936329588015,0.19280575539568345,134,722,400
baseline_peak,test,10,3.2,5.422176684690384,0.5,0.11464968152866242,0.13740458015267176,0.12500000000000003,18,139,113
baseline_peak,train,20,10.0,14.553350129781116,0.35,0.23255813953488372,0.3971119133574007,0.29333333333333333,110,363,167
baseline_peak,valid,10,11.0,18.520259177452136,0.4,0.02654867256637168,0.047619047619047616,0.03409090909090909,6,220,120
baseline_fsm,overall,40,5.825,11.8817086313375,0.525,0.024615384615384615,0.0149812734082397,0.018626309662398137,8,317,526
baseline_fsm,test,10,4.8,9.02219485491197,0.7,0.0,0.0,0.0,0,89,131
baseline_fsm,train,20,7.95,15.360664048145836,0.45,0.06557377049180328,0.02888086642599278,0.040100250626566414,8,114,269
baseline_fsm,valid,10,2.6,3.3763886032268267,0.5,0.0,0.0,0.0,0,114,126
proposed_phase_vote,overall,40,3.425,4.937104414532874,0.325,0.24937027707808565,0.1853932584269663,0.21267454350161116,99,298,435
proposed_phase_vote,test,10,3.4,5.549774770204643,0.3,0.05154639175257732,0.03816793893129771,0.04385964912280702,5,92,126
proposed_phase_vote,train,20,3.75,5.044799302251775,0.35,0.46534653465346537,0.33935018050541516,0.3924843423799582,94,108,183
proposed_phase_vote,valid,10,2.8,3.9749213828703582,0.3,0.0,0.0,0.0,0,98,126
