method,split,n_videos,mae,rmse,oboa,event_precision,event_recall,event_f1,event_tp,event_fp,event_fn
baseline_fsm,overall,40,5.825,11.8817086313375,0.525,0.024615384615384615,0.0149812734082397,0.018626309662398137,8,317,526
baseline_fsm,test,10,4.8,9.02219485491197,0.7,0.0,0.0,0.0,0,89,131
baseline_fsm,train,20,7.95,15.360664048145836,0.45,0.06557377049180328,0.02888086642599278,0.040100250626566414,8,114,269
baseline_fsm,valid,10,2.6,3.3763886032268267,0.5,0.0,0.0,0.0,0,114,126
phase_native_online,overall,40,7.0,9.041570660012562,0.1,0.3643410852713178,0.1760299625468165,0.2373737373737374,94,164,440
phase_native_online,test,10,6.7,8.654478609367523,0.1,0.390625,0.19083969465648856,0.25641025641025644,25,39,106
phase_native_online,train,20,6.95,9.205976319760984,0.15,0.4492753623188406,0.22382671480144403,0.2987951807228916,62,76,215
phase_native_online,valid,10,7.4,9.08845421400141,0.0,0.125,0.05555555555555555,0.07692307692307691,7,49,119
phase_native_online_phase_crossing,overall,40,6.475,7.932527970325727,0.1,0.33217993079584773,0.1797752808988764,0.2332928311057108,96,193,438
phase_native_online_phase_crossing,test,10,6.7,8.312640976248161,0.2,0.25,0.12213740458015267,0.1641025641025641,16,48,115
phase_native_online_phase_crossing,train,20,5.75,7.276675064890558,0.1,0.36419753086419754,0.21299638989169675,0.26879271070615035,59,103,218
phase_native_online_phase_crossing,valid,10,7.7,8.757853618324527,0.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,21,42,105
