method,split,n_videos,mae,rmse,oboa,event_precision,event_recall,event_f1,event_tp,event_fp,event_fn
baseline_fsm,overall,40,5.825,11.8817086313375,0.525,0.024615384615384615,0.0149812734082397,0.018626309662398137,8,317,526
baseline_fsm,test,10,4.8,9.02219485491197,0.7,0.0,0.0,0.0,0,89,131
baseline_fsm,train,20,7.95,15.360664048145836,0.45,0.06557377049180328,0.02888086642599278,0.040100250626566414,8,114,269
baseline_fsm,valid,10,2.6,3.3763886032268267,0.5,0.0,0.0,0.0,0,114,126
phase_native_online,overall,40,7.0,9.041570660012562,0.1,0.3643410852713178,0.1760299625468165,0.2373737373737374,94,164,440
phase_native_online,test,10,6.7,8.654478609367523,0.1,0.390625,0.19083969465648856,0.25641025641025644,25,39,106
phase_native_online,train,20,6.95,9.205976319760984,0.15,0.4492753623188406,0.22382671480144403,0.2987951807228916,62,76,215
phase_native_online,valid,10,7.4,9.08845421400141,0.0,0.125,0.05555555555555555,0.07692307692307691,7,49,119
phase_native_online_phase_crossing,overall,40,4.025,5.188930525647843,0.2,0.32273838630806845,0.24719101123595505,0.2799575821845175,132,277,402
phase_native_online_phase_crossing,test,10,4.7,6.300793600809346,0.2,0.23809523809523808,0.15267175572519084,0.18604651162790697,20,64,111
phase_native_online_phase_crossing,train,20,3.2,4.2895221179054435,0.25,0.35944700460829493,0.2815884476534296,0.31578947368421056,78,139,199
phase_native_online_phase_crossing,valid,10,5.0,5.585696017507576,0.1,0.3148148148148148,0.2698412698412698,0.2905982905982906,34,74,92
