method,split,n_videos,mae,rmse,oboa,event_precision,event_recall,event_f1,event_tp,event_fp,event_fn
baseline_fsm,overall,40,5.825,11.8817086313375,0.525,0.024615384615384615,0.0149812734082397,0.018626309662398137,8,317,526
baseline_fsm,test,10,4.8,9.02219485491197,0.7,0.0,0.0,0.0,0,89,131
baseline_fsm,train,20,7.95,15.360664048145836,0.45,0.06557377049180328,0.02888086642599278,0.040100250626566414,8,114,269
baseline_fsm,valid,10,2.6,3.3763886032268267,0.5,0.0,0.0,0.0,0,114,126
phase_native_online_phase_crossing,overall,40,6.475,7.932527970325727,0.1,0.33217993079584773,0.1797752808988764,0.2332928311057108,96,193,438
phase_native_online_phase_crossing,test,10,6.7,8.312640976248161,0.2,0.25,0.12213740458015267,0.1641025641025641,16,48,115
phase_native_online_phase_crossing,train,20,5.75,7.276675064890558,0.1,0.36419753086419754,0.21299638989169675,0.26879271070615035,59,103,218
phase_native_online_phase_crossing,valid,10,7.7,8.757853618324527,0.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,21,42,105
proposed_phase_vote,overall,40,3.425,4.937104414532874,0.325,0.24937027707808565,0.1853932584269663,0.21267454350161116,99,298,435
proposed_phase_vote,test,10,3.4,5.549774770204643,0.3,0.05154639175257732,0.03816793893129771,0.04385964912280702,5,92,126
proposed_phase_vote,train,20,3.75,5.044799302251775,0.35,0.46534653465346537,0.33935018050541516,0.3924843423799582,94,108,183
proposed_phase_vote,valid,10,2.8,3.9749213828703582,0.3,0.0,0.0,0.0,0,98,126
