method,split,n_videos,mae,rmse,oboa,mae_norm,mae_norm_p1,event_precision,event_recall,event_f1,event_tp,event_fp,event_fn
baseline_fsm,overall,40,5.825,11.8817086313375,0.525,0.34368980089858575,0.33710376210204973,0.024615384615384615,0.0149812734082397,0.018626309662398137,8,317,526
baseline_fsm,test,10,4.8,9.02219485491197,0.7,0.31367017322899676,0.30264247523263,0.0,0.0,0.0,0,89,131
baseline_fsm,train,20,7.95,15.360664048145836,0.45,0.3976769295519295,0.3915394219456002,0.06557377049180328,0.02888086642599278,0.040100250626566414,8,114,269
baseline_fsm,valid,10,2.6,3.3763886032268267,0.5,0.26573517126148705,0.2626937292843684,0.0,0.0,0.0,0,114,126
phase_native_online_phase_crossing,overall,40,4.15,5.440588203494177,0.225,0.4538970803971772,0.44195317670017353,0.33080808080808083,0.24531835205992508,0.2817204301075269,131,265,403
phase_native_online_phase_crossing,test,10,4.4,6.148170459575759,0.3,0.469143606459783,0.4548538888703879,0.26436781609195403,0.17557251908396945,0.21100917431192662,23,64,108
phase_native_online_phase_crossing,train,20,3.7,5.0,0.25,0.4284026159026159,0.4145774385385138,0.3497536945812808,0.2563176895306859,0.29583333333333334,71,132,206
phase_native_online_phase_crossing,valid,10,4.8,5.531726674375733,0.1,0.4896394833236939,0.4838039408532784,0.3490566037735849,0.29365079365079366,0.3189655172413793,37,69,89
proposed_phase_vote,overall,40,3.425,4.937104414532874,0.325,0.3591361550751063,0.34996903657201534,0.24937027707808565,0.1853932584269663,0.21267454350161116,99,298,435
proposed_phase_vote,test,10,3.4,5.549774770204643,0.3,0.26929095778360485,0.2650726787861519,0.05154639175257732,0.03816793893129771,0.04385964912280702,5,92,126
proposed_phase_vote,train,20,3.75,5.044799302251775,0.35,0.45666342916342917,0.4416907559604496,0.46534653465346537,0.33935018050541516,0.3924843423799582,94,108,183
proposed_phase_vote,valid,10,2.8,3.9749213828703582,0.3,0.25392680418996205,0.2514219555810103,0.0,0.0,0.0,0,98,126
