r_quantile,cooldown_sec,eps_phi,mae,rmse,oboa,event_f1,event_p,event_r,mean_signed_err,avg_crossings,avg_candidates,avg_accepted,accept_rate,moving_fraction,fail_phi,fail_r,fail_vote,top_reject_reason
0.05,0.2,0.45,4.35,5.324471804789654,0.15,0.2878787878787879,0.34102564102564104,0.24906367041198502,-3.6,26.25,21.6,9.75,0.4513888888888889,0.9646753018250888,1225,4,474,fail_phi
0.05,0.1,0.45,4.65,5.621387729022079,0.15,0.293859649122807,0.3544973544973545,0.250936329588015,-3.9,29.15,20.775,9.45,0.4548736462093863,0.9663257552985893,1166,6,453,fail_phi
0.05,0.05,0.45,4.7,5.648008498577175,0.15,0.2945054945054945,0.35638297872340424,0.250936329588015,-3.95,29.875,20.525,9.4,0.4579780755176614,0.9668444296528991,1147,6,445,fail_phi
0.05,0.2,0.35,4.925,6.097130472607585,0.175,0.2931228861330327,0.36827195467422097,0.24344569288389514,-4.525,26.25,21.6,8.825,0.4085648148148148,0.9646753018250888,1342,4,511,fail_phi
0.05,0.1,0.35,5.225,6.455617708631761,0.15,0.29646522234891676,0.37900874635568516,0.24344569288389514,-4.775,29.15,20.775,8.575,0.4127557160048135,0.9663257552985893,1281,6,488,fail_phi
0.05,0.05,0.35,5.275,6.501922792528377,0.15,0.29714285714285715,0.3812316715542522,0.24344569288389514,-4.825,29.875,20.525,8.525,0.415347137637028,0.9668444296528991,1259,6,480,fail_phi
0.1,0.2,0.45,6.5,7.874007874011811,0.125,0.24449877750611249,0.352112676056338,0.18726591760299627,-6.25,24.675,16.725,7.1,0.42451420029895365,0.9128887007469825,997,31,385,fail_phi
0.1,0.1,0.45,6.725,8.051397394241574,0.1,0.24907521578298397,0.36462093862815886,0.1891385767790262,-6.425,26.85,16.1,6.925,0.4301242236024845,0.9144166598317323,954,29,367,fail_phi
0.1,0.05,0.45,6.775,8.11326075015465,0.1,0.2496909765142151,0.36727272727272725,0.1891385767790262,-6.475,27.45,15.925,6.875,0.4317111459968603,0.9153206408838187,939,29,362,fail_phi
0.1,0.2,0.35,7.1,8.64291617453276,0.125,0.2430379746835443,0.375,0.1797752808988764,-6.95,24.675,16.725,6.4,0.38266068759342303,0.9128887007469825,1084,31,413,fail_phi
0.1,0.1,0.35,7.3,8.83742043811428,0.125,0.24744897959183673,0.388,0.18164794007490637,-7.1,26.85,16.1,6.25,0.38819875776397517,0.9144166598317323,1040,29,394,fail_phi
0.1,0.05,0.35,7.35,8.899438184514796,0.125,0.2480818414322251,0.3911290322580645,0.18164794007490637,-7.15,27.45,15.925,6.2,0.3893249607535322,0.9153206408838187,1025,29,389,fail_phi
0.15,0.2,0.45,7.775,9.701803955966128,0.1,0.1971090670170828,0.3303964757709251,0.1404494382022472,-7.675,23.475,13.625,5.675,0.41651376146788993,0.8643885087495299,824,50,318,fail_phi
0.15,0.05,0.45,8.05,9.982484660644364,0.1,0.19733333333333333,0.3425925925925926,0.13857677902621723,-7.95,25.7,12.95,5.4,0.416988416988417,0.8673554895586928,781,45,302,fail_phi
0.15,0.1,0.45,8.05,9.982484660644364,0.1,0.19733333333333333,0.3425925925925926,0.13857677902621723,-7.95,25.175,13.025,5.4,0.4145873320537428,0.8660834459967436,789,45,305,fail_phi
0.15,0.2,0.35,8.375,10.417533297282999,0.125,0.19319727891156463,0.35323383084577115,0.13295880149812733,-8.325,23.475,13.625,5.025,0.3688073394495413,0.8643885087495299,901,52,344,fail_phi
0.15,0.05,0.35,8.625,10.68994854992296,0.125,0.19586206896551722,0.3717277486910995,0.13295880149812733,-8.575,25.7,12.95,4.775,0.3687258687258687,0.8673554895586928,856,47,327,fail_phi
0.15,0.1,0.35,8.625,10.68994854992296,0.125,0.19586206896551722,0.3717277486910995,0.13295880149812733,-8.575,25.175,13.025,4.775,0.3666026871401152,0.8660834459967436,864,47,330,fail_phi
