video_id,split,action,true_count,pred_count,abs_err,pred_periods_json,true_periods_json,primary_signal,mean_confidence,n_rejects,n_crossings,n_candidates,n_accepted,reject_fail_vote,reject_fail_phi,reject_fail_r,moving_fraction,status,method
stu10_43,test,push_up,17,2,15,"[[755,823],[1482,1569]]","[[4,106],[106,200],[200,287],[288,376],[376,471],[471,567],[567,664],[798,916],[916,1015],[1015,1106],[1106,1211],[1211,1304],[1304,1397],[1398,1482],[1482,1576],[1576,1668],[1668,1757]]",elbow_flex,0.9443862747042793,3,23,5,2,3,9,0,0.9827201783723523,ok,phase_native_online_phase_crossing
stu10_48,test,push_up,5,5,0,"[[295,346],[346,397],[564,637],[775,829],[829,889]]","[[244,322],[322,368],[368,422],[738,798],[798,853]]",elbow_flex,0.9124168070306821,13,25,18,5,13,32,0,0.9784580498866213,ok,phase_native_online_phase_crossing
stu4_47,test,push_up,37,30,7,"[[132,156],[163,183],[183,209],[209,228],[228,262],[283,311],[311,342],[342,363],[363,389],[389,422],[422,446],[446,471],[471,496],[524,542],[542,599],[599,625],[625,652],[652,682],[682,712],[712,740],[740,771],[771,804],[804,834],[834,871],[871,906],[906,953],[953,997],[1281,1364],[1364,1417],[1417,1465]]","[[84,104],[105,132],[132,156],[156,187],[188,214],[215,241],[242,266],[267,292],[293,319],[321,343],[344,366],[368,396],[397,423],[424,452],[454,476],[476,502],[504,529],[531,556],[557,584],[587,607],[609,639],[642,663],[664,697],[698,724],[728,759],[759,787],[789,817],[818,850],[853,888],[889,935],[937,976],[979,1019],[1019,1096],[1324,1391],[1394,1436],[1440,1528],[1533,1623]]",elbow_flex,0.9401958547937436,13,52,43,30,13,30,0,0.9848942598187311,ok,phase_native_online_phase_crossing
stu5_62,test,squat,32,29,3,"[[127,158],[158,191],[191,225],[225,259],[259,294],[294,327],[327,359],[359,394],[394,429],[429,463],[463,498],[498,533],[533,569],[569,604],[604,640],[640,681],[1018,1054],[1054,1086],[1086,1124],[1124,1163],[1163,1204],[1204,1242],[1242,1283],[1283,1325],[1325,1366],[1366,1406],[1406,1448],[1448,1496],[1496,1537]]","[[74,104],[104,134],[134,171],[171,204],[204,236],[236,268],[268,302],[302,337],[337,371],[371,407],[407,446],[446,479],[479,512],[512,546],[546,583],[583,619],[619,654],[654,990],[990,1027],[1027,1065],[1065,1101],[1101,1138],[1138,1181],[1181,1219],[1219,1258],[1258,1300],[1300,1343],[1343,1385],[1385,1425],[1425,1470],[1470,1510],[1510,1559]]",knee_flex,0.9037434436343436,11,47,40,29,11,25,0,0.9844594594594595,ok,phase_native_online_phase_crossing
stu8_71,test,squat,4,1,3,"[[189,253]]","[[1,53],[53,128],[128,204],[204,288]]",knee_flex,0.986758992073029,1,4,2,1,1,3,0,0.9662162162162162,ok,phase_native_online_phase_crossing
stu9_36,test,pull_up,11,6,5,"[[183,239],[239,303],[303,366],[366,426],[426,478],[563,606]]","[[20,82],[82,144],[144,202],[202,261],[261,323],[323,387],[387,444],[444,504],[504,566],[566,631],[631,702]]",elbow_flex,0.9739634839490714,0,12,6,6,0,0,0,0.9838709677419355,ok,phase_native_online_phase_crossing
stu9_64,test,squat,14,6,8,"[[131,198],[198,275],[669,757],[757,837],[837,927],[1101,1164]]","[[61,126],[127,203],[203,273],[273,345],[345,426],[426,515],[515,594],[594,670],[670,761],[761,847],[847,927],[927,1008],[1008,1093],[1093,1169]]",knee_flex,0.9631433248627351,0,13,6,6,0,0,0,0.9778325123152709,ok,phase_native_online_phase_crossing
test1454,test,pull_up,6,4,2,"[[99,121],[185,208],[228,251],[271,295]]","[[25,66],[66,109],[109,151],[151,199],[199,243],[243,286]]",elbow_flex,0.9255055151406059,11,16,15,4,11,28,0,0.9703703703703703,ok,phase_native_online_phase_crossing
train2508,test,pull_up,4,0,4,[],"[[41,90],[90,133],[133,241],[241,299]]",elbow_flex,0.0,0,4,0,0,0,0,0,0.9566666666666667,ok,phase_native_online_phase_crossing
val1244,test,squat,1,0,1,[],"[[5,109]]",knee_flex,0.0,2,4,2,0,2,6,0,0.9556451612903226,ok,phase_native_online_phase_crossing
stu10_64,train,squat,2,1,1,"[[176,199]]","[[0,105],[105,352]]",knee_flex,0.902690525753619,2,9,3,1,2,6,0,0.9427083333333334,ok,phase_native_online_phase_crossing
stu1_50,train,push_up,13,10,3,"[[150,182],[265,322],[322,342],[503,551],[551,604],[759,822],[822,878],[952,1008],[1091,1125],[1211,1246]]","[[504,545],[545,587],[587,636],[636,694],[694,749],[771,814],[814,866],[866,931],[931,996],[1005,1045],[1045,1103],[1103,1160],[1160,1225]]",elbow_flex,0.9216988804500934,12,35,22,10,12,33,0,0.9662828947368421,ok,phase_native_online_phase_crossing
stu3_38,train,pull_up,9,1,8,"[[393,407]]","[[10,87],[87,161],[161,237],[237,328],[329,427],[427,570],[570,673],[673,862],[862,1087]]",elbow_flex,0.7503076211107352,57,91,58,1,57,149,0,0.9895104895104895,ok,phase_native_online_phase_crossing
stu3_44,train,push_up,11,7,4,"[[155,182],[182,219],[219,258],[258,295],[295,326],[375,415],[596,608]]","[[19,61],[156,193],[193,230],[230,269],[269,306],[306,339],[339,387],[387,428],[429,471],[471,512],[512,548]]",elbow_flex,0.9038305521919062,10,24,17,7,10,25,0,0.8676671214188267,ok,phase_native_online_phase_crossing
stu3_48,train,push_up,54,45,9,"[[116,134],[165,234],[545,565],[565,579],[593,615],[615,638],[647,661],[661,685],[693,707],[707,730],[730,752],[752,775],[775,797],[797,820],[842,865],[865,888],[888,910],[910,932],[932,955],[963,979],[979,1002],[1002,1025],[1025,1048],[1048,1070],[1070,1096],[1096,1116],[1116,1141],[1141,1164],[1164,1189],[1189,1213],[1237,1261],[1261,1288],[1288,1314],[1314,1338],[1338,1362],[1370,1388],[1388,1414],[1424,1437],[1442,1467],[1467,1494],[1505,1524],[1524,1546],[1554,1576],[1586,1617],[1623,1658]]","[[14,42],[42,89],[89,115],[115,137],[137,160],[461,505],[505,533],[533,557],[557,580],[580,602],[602,626],[627,650],[650,675],[675,697],[697,719],[719,741],[741,765],[765,786],[786,809],[809,832],[832,854],[854,878],[878,903],[903,922],[922,945],[945,968],[968,992],[992,1014],[1014,1039],[1039,1067],[1067,1094],[1094,1115],[1115,1136],[1136,1159],[1159,1184],[1184,1211],[1211,1232],[1232,1258],[1258,1277],[1277,1305],[1305,1329],[1329,1353],[1353,1380],[1380,1406],[1406,1433],[1433,1461],[1461,1489],[1489,1510],[1510,1541],[1541,1572],[1572,1608],[1608,1645],[1645,1688],[1688,1736]]",elbow_flex,0.9372102366697631,28,86,73,45,28,73,0,0.9868255959849436,ok,phase_native_online_phase_crossing
stu3_60,train,squat,4,1,3,"[[136,176]]","[[8,65],[65,111],[111,150],[150,187]]",knee_flex,0.9942083163771277,0,3,1,1,0,0,0,0.9519230769230769,ok,phase_native_online_phase_crossing
stu3_72,train,squat,1,0,1,[],"[[127,299]]",knee_flex,0.0,1,2,1,0,1,3,0,0.9295302013422819,ok,phase_native_online_phase_crossing
stu4_36,train,pull_up,6,7,1,"[[209,226],[420,443],[488,532],[600,655],[721,770],[807,838],[975,1017]]","[[56,113],[476,549],[578,684],[688,767],[838,907],[942,1015]]",elbow_flex,0.8842797977199525,40,60,47,7,40,109,1,0.9477682811016145,ok,phase_native_online_phase_crossing
stu5_34,train,pull_up,52,37,15,"[[160,172],[172,183],[183,194],[194,205],[205,217],[217,227],[227,239],[239,250],[250,263],[263,275],[275,288],[288,301],[301,326],[326,344],[451,461],[483,493],[493,516],[516,532],[532,552],[552,572],[587,598],[750,772],[772,790],[790,814],[856,914],[914,984],[1039,1051],[1051,1075],[1075,1095],[1095,1119],[1119,1174],[1201,1224],[1301,1360],[1376,1395],[1395,1410],[1410,1432],[1466,1527]]","[[91,102],[102,113],[113,124],[124,136],[136,145],[145,156],[156,167],[168,179],[179,189],[189,201],[201,211],[211,222],[222,234],[234,246],[246,256],[256,269],[269,281],[281,294],[294,309],[314,331],[440,453],[453,465],[465,475],[475,486],[486,499],[499,523],[524,542],[542,562],[562,586],[696,709],[709,720],[720,731],[731,743],[743,755],[755,779],[779,803],[804,829],[976,988],[988,1000],[1000,1011],[1011,1022],[1022,1034],[1034,1045],[1045,1058],[1068,1084],[1088,1103],[1103,1130],[1347,1366],[1366,1384],[1384,1401],[1402,1417],[1417,1445]]",elbow_flex,0.9273570255640182,23,71,60,37,23,55,0,0.9820766378244746,ok,phase_native_online_phase_crossing
stu5_44,train,push_up,12,8,4,"[[143,212],[212,260],[260,319],[319,372],[372,432],[912,985],[1049,1127],[1340,1425]]","[[148,205],[205,256],[256,315],[315,373],[373,430],[430,493],[913,972],[972,1044],[1045,1121],[1179,1257],[1257,1333],[1333,1421]]",elbow_flex,0.9081300008644413,15,36,23,8,15,35,1,0.9735772357723578,ok,phase_native_online_phase_crossing
stu6_27,train,pull_up,5,0,5,[],"[[2,64],[67,130],[178,256],[268,325],[343,404]]",elbow_flex,0.0,6,11,6,0,6,17,0,0.9710144927536232,ok,phase_native_online_phase_crossing
stu6_45,train,push_up,10,5,5,"[[364,443],[512,594],[600,683],[683,757],[757,830]]","[[75,155],[156,258],[259,339],[339,408],[408,489],[489,552],[552,630],[630,711],[711,790],[795,866]]",elbow_flex,0.9987835424807517,0,11,5,5,0,0,0,0.968421052631579,ok,phase_native_online_phase_crossing
stu7_46,train,push_up,16,14,2,"[[80,112],[112,144],[144,177],[177,207],[207,239],[239,282],[697,732],[732,768],[768,804],[804,846],[846,886],[886,928],[928,970],[970,1009]]","[[9,41],[41,72],[72,106],[106,136],[136,170],[171,201],[201,234],[643,691],[691,724],[724,763],[763,801],[801,842],[842,885],[885,923],[923,964],[965,1010]]",elbow_flex,0.9317183975868387,14,38,28,14,14,37,0,0.9436619718309859,ok,phase_native_online_phase_crossing
stu8_39,train,pull_up,16,9,7,"[[242,278],[284,315],[326,353],[391,411],[443,454],[498,539],[539,567],[607,642],[642,658]]","[[1,22],[22,48],[48,73],[73,123],[123,159],[159,200],[200,240],[240,294],[294,336],[336,379],[379,423],[423,481],[481,534],[534,584],[584,638],[638,690]]",elbow_flex,0.9049458068104362,18,58,27,9,18,41,0,0.9819819819819819,ok,phase_native_online_phase_crossing
stu8_68,train,squat,3,2,1,"[[101,139],[181,233]]","[[113,160],[160,210],[210,272]]",knee_flex,0.9269356793203991,1,5,3,2,1,2,0,0.9338235294117647,ok,phase_native_online_phase_crossing
stu9_42,train,pull_up,30,26,4,"[[278,302],[308,339],[339,362],[368,393],[428,452],[458,483],[488,513],[525,547],[547,574],[574,599],[603,628],[632,660],[671,689],[689,714],[719,749],[760,780],[790,812],[812,844],[844,868],[877,904],[912,937],[948,972],[987,1011],[1069,1107],[1114,1185],[1185,1204]]","[[183,221],[221,251],[251,282],[282,313],[313,344],[344,372],[372,402],[402,431],[431,461],[461,491],[491,520],[520,549],[549,576],[577,607],[607,634],[634,663],[663,692],[692,723],[723,751],[752,784],[784,816],[816,848],[848,881],[881,915],[915,952],[952,991],[991,1029],[1029,1072],[1072,1119],[1179,1229]]",elbow_flex,0.8953627158809444,17,66,43,26,17,43,0,0.9886363636363636,ok,phase_native_online_phase_crossing
stu9_54,train,push_up,26,23,3,"[[190,239],[245,292],[298,347],[347,394],[440,480],[497,549],[549,568],[568,590],[590,620],[692,751],[805,859],[899,927],[927,980],[980,1036],[1036,1071],[1093,1134],[1143,1184],[1193,1225],[1493,1540],[1588,1635],[1635,1691],[1710,1750],[1772,1791]]","[[145,207],[208,265],[265,310],[310,359],[359,405],[405,448],[449,523],[523,593],[593,654],[654,708],[708,764],[764,819],[819,875],[875,946],[946,1000],[1000,1053],[1053,1106],[1106,1149],[1149,1199],[1199,1338],[1338,1471],[1476,1528],[1528,1573],[1573,1627],[1627,1672],[1672,1766]]",elbow_flex,0.9100034678467653,14,51,37,23,14,32,0,0.9699205448354143,ok,phase_native_online_phase_crossing
test2298,train,squat,2,0,2,[],"[[22,94],[149,220]]",knee_flex,0.0,1,3,1,0,1,3,0,0.939799331103679,ok,phase_native_online_phase_crossing
test2317,train,squat,3,2,1,"[[97,126],[230,267]]","[[21,108],[109,196],[196,284]]",knee_flex,0.8831093239871104,5,11,7,2,5,14,0,0.958041958041958,ok,phase_native_online_phase_crossing
test2323,train,squat,2,0,2,[],"[[0,129],[144,292]]",knee_flex,0.0,2,4,2,0,2,5,0,0.9459459459459459,ok,phase_native_online_phase_crossing
stu10_39,valid,pull_up,10,7,3,"[[109,144],[144,186],[234,269],[417,435],[485,542],[739,772],[847,880]]","[[62,102],[102,139],[139,181],[181,223],[223,269],[269,342],[342,398],[398,459],[459,539],[774,897]]",elbow_flex,0.8937577683801152,26,42,33,7,26,66,1,0.9900332225913622,ok,phase_native_online_phase_crossing
