step,loss,lr
1,0.12632284,0.0001000000
2,0.13060246,0.0001000000
3,0.14863890,0.0001000000
4,0.16744772,0.0001000000
5,0.15100582,0.0001000000
6,0.15101378,0.0001000000
7,0.14144385,0.0001000000
8,0.15172809,0.0000999999
9,0.14264938,0.0000999999
10,0.12921980,0.0000999999
11,0.12568189,0.0000999999
12,0.18815216,0.0000999999
13,0.12924716,0.0000999998
14,0.11274074,0.0000999998
15,0.10429900,0.0000999998
16,0.10012701,0.0000999998
17,0.09361133,0.0000999997
18,0.08238694,0.0000999997
19,0.39500251,0.0000999997
20,0.20208657,0.0000999996
21,0.77172667,0.0000999996
22,0.13332623,0.0000999995
23,0.06940889,0.0000999995
24,0.06956952,0.0000999994
25,0.13621616,0.0000999994
26,0.14810610,0.0000999993
27,0.05051786,0.0000999993
28,0.09022278,0.0000999992
29,0.04599963,0.0000999992
30,0.07002430,0.0000999991
31,0.05946479,0.0000999991
32,0.11555124,0.0000999990
33,0.05382710,0.0000999990
34,0.06302159,0.0000999989
35,0.05641413,0.0000999988
36,0.06825399,0.0000999988
37,0.10805723,0.0000999987
38,0.08647184,0.0000999986
39,0.10140842,0.0000999985
40,0.12702733,0.0000999985
41,0.07691739,0.0000999984
42,0.07786537,0.0000999983
43,0.12121244,0.0000999982
44,0.04719687,0.0000999981
45,0.27079272,0.0000999981
46,0.08591244,0.0000999980
47,0.07500449,0.0000999979
48,0.07017149,0.0000999978
49,0.11713172,0.0000999977
50,0.15928864,0.0000999976
51,0.08494498,0.0000999975
52,0.13443992,0.0000999974
53,0.35762456,0.0000999973
54,0.08840066,0.0000999972
55,0.08433442,0.0000999971
56,0.06432625,0.0000999970
57,0.29761285,0.0000999969
58,0.13826142,0.0000999968
59,0.17471433,0.0000999966
60,0.09611902,0.0000999965
61,0.07281484,0.0000999964
62,0.10110492,0.0000999963
63,0.06478830,0.0000999962
64,0.13841936,0.0000999961
65,0.07424643,0.0000999959
66,0.13615930,0.0000999958
67,0.06400452,0.0000999957
68,0.06244889,0.0000999955
69,0.11834009,0.0000999954
70,0.14753677,0.0000999953
71,0.05614844,0.0000999951
72,0.05803257,0.0000999950
73,0.04580621,0.0000999949
74,0.04695147,0.0000999947
75,0.09012908,0.0000999946
76,0.03959842,0.0000999944
77,0.11350450,0.0000999943
78,0.04710628,0.0000999941
79,0.12819734,0.0000999940
80,0.12114056,0.0000999938
81,0.05227454,0.0000999937
82,0.05696049,0.0000999935
83,0.17559510,0.0000999934
84,0.04020197,0.0000999932
85,0.05127426,0.0000999930
86,0.17950068,0.0000999929
87,0.11299598,0.0000999927
88,0.05721380,0.0000999925
89,0.16456944,0.0000999924
90,0.10059258,0.0000999922
91,0.23513053,0.0000999920
92,0.06345676,0.0000999919
93,0.08103008,0.0000999917
94,0.08039000,0.0000999915
95,0.14835042,0.0000999913
96,0.08110910,0.0000999911
97,0.09632106,0.0000999909
98,0.07622969,0.0000999908
99,0.12865858,0.0000999906
100,0.07087974,0.0000999904
101,0.20306735,0.0000999902
102,0.09411022,0.0000999900
103,0.09982848,0.0000999898
104,0.11839323,0.0000999896
105,0.06574565,0.0000999894
106,0.06463568,0.0000999892
107,0.06425712,0.0000999890
108,0.06763560,0.0000999888
109,0.11855584,0.0000999886
110,0.12372255,0.0000999883
111,0.06013640,0.0000999881
112,0.07823370,0.0000999879
113,0.13575499,0.0000999877
114,0.19750604,0.0000999875
115,0.07588249,0.0000999873
116,0.37614223,0.0000999870
117,0.09675650,0.0000999868
118,0.06245918,0.0000999866
119,0.07630646,0.0000999864
120,0.06172793,0.0000999861
121,0.07172956,0.0000999859
122,0.06217177,0.0000999857
123,0.04767697,0.0000999854
124,0.08166396,0.0000999852
125,0.04234000,0.0000999850
126,0.39867678,0.0000999847
127,0.18225536,0.0000999845
128,0.16282052,0.0000999842
129,0.05381145,0.0000999840
130,0.05093022,0.0000999837
131,0.07563964,0.0000999835
132,0.05458825,0.0000999832
133,0.08312789,0.0000999830
134,0.07816818,0.0000999827
135,0.04081875,0.0000999825
136,0.10247669,0.0000999822
137,0.04198460,0.0000999819
138,0.04654242,0.0000999817
139,0.04901535,0.0000999814
140,0.10692700,0.0000999811
141,0.12397289,0.0000999809
142,0.73486859,0.0000999806
143,0.30413163,0.0000999803
144,0.10033381,0.0000999800
145,0.14631793,0.0000999798
146,0.14685342,0.0000999795
147,0.09390374,0.0000999792
148,0.06137915,0.0000999789
149,0.06935313,0.0000999786
150,0.12483057,0.0000999783
151,0.07462475,0.0000999780
152,0.08653746,0.0000999778
153,0.08674438,0.0000999775
154,0.08352977,0.0000999772
155,0.08186996,0.0000999769
156,0.07575645,0.0000999766
157,0.06190383,0.0000999763
158,0.07170806,0.0000999760
159,0.07165204,0.0000999757
160,0.04400899,0.0000999754
161,0.10851934,0.0000999750
162,0.20476109,0.0000999747
163,0.05978937,0.0000999744
164,0.06094665,0.0000999741
165,0.13810687,0.0000999738
166,0.09305118,0.0000999735
167,0.10423547,0.0000999731
168,0.13040182,0.0000999728
169,0.06162632,0.0000999725
170,0.10644716,0.0000999722
171,0.05933583,0.0000999718
172,0.19992411,0.0000999715
173,0.11836701,0.0000999712
174,0.06536774,0.0000999709
175,0.08277463,0.0000999705
176,0.15241927,0.0000999702
177,0.07524193,0.0000999698
178,0.06274705,0.0000999695
179,0.08431399,0.0000999692
180,0.04639103,0.0000999688
181,0.08848679,0.0000999685
182,0.17476188,0.0000999681
183,0.04207093,0.0000999678
184,0.11121721,0.0000999674
185,0.05749968,0.0000999670
186,0.04317598,0.0000999667
187,0.05302941,0.0000999663
188,0.04122179,0.0000999660
189,0.16127013,0.0000999656
190,0.03857512,0.0000999652
191,0.03047998,0.0000999649
192,0.06327121,0.0000999645
193,0.08393335,0.0000999641
194,0.03531832,0.0000999638
195,0.12641503,0.0000999634
196,0.06699463,0.0000999630
197,0.09669039,0.0000999626
198,0.05666534,0.0000999623
199,0.05990012,0.0000999619
200,0.11569814,0.0000999615
201,0.03965972,0.0000999611
202,0.08600090,0.0000999607
203,0.05588395,0.0000999603
204,0.09837431,0.0000999599
205,0.11107063,0.0000999595
206,0.06238487,0.0000999591
207,0.06180900,0.0000999587
208,0.07582776,0.0000999583
209,0.09664283,0.0000999579
210,0.05100004,0.0000999575
211,0.06692182,0.0000999571
212,0.11657234,0.0000999567
213,0.13007522,0.0000999563
214,0.08237971,0.0000999559
215,0.07137895,0.0000999555
216,0.06709869,0.0000999551
217,0.05473359,0.0000999547
218,0.05762054,0.0000999542
219,0.73289335,0.0000999538
220,0.07089171,0.0000999534
221,0.05572299,0.0000999530
222,0.07641697,0.0000999526
223,0.13555250,0.0000999521
224,0.07200626,0.0000999517
225,0.44066143,0.0000999513
226,0.11749864,0.0000999508
227,0.08985652,0.0000999504
