step,loss,lr
1,0.14523108,0.0001000000
2,0.19871710,0.0001000000
3,0.06805423,0.0001000000
4,0.20817189,0.0001000000
5,0.06997769,0.0001000000
6,0.33537871,0.0001000000
7,0.08418465,0.0001000000
8,0.04057233,0.0000999999
9,0.13410825,0.0000999999
10,0.08945829,0.0000999999
11,0.05813796,0.0000999999
12,0.10946967,0.0000999999
13,0.10269642,0.0000999998
14,0.10882100,0.0000999998
15,0.10289140,0.0000999998
16,0.11583687,0.0000999998
17,0.06766585,0.0000999997
18,0.09216875,0.0000999997
19,0.07555588,0.0000999997
20,0.08417112,0.0000999996
21,0.04154772,0.0000999996
22,0.17268032,0.0000999995
23,0.09202710,0.0000999995
24,0.12189890,0.0000999994
25,0.08355215,0.0000999994
26,0.23659971,0.0000999993
27,0.09004483,0.0000999993
28,0.06982987,0.0000999992
29,0.08454789,0.0000999992
30,0.13507107,0.0000999991
31,0.03784354,0.0000999991
32,0.13312542,0.0000999990
33,0.09181951,0.0000999990
34,0.08126944,0.0000999989
35,0.12000275,0.0000999988
36,0.08871053,0.0000999988
37,0.33150232,0.0000999987
38,0.05156096,0.0000999986
39,0.08695997,0.0000999985
40,0.06584162,0.0000999985
41,0.06476570,0.0000999984
42,0.07362043,0.0000999983
43,0.13039470,0.0000999982
44,0.06528427,0.0000999981
45,0.04853080,0.0000999981
46,0.03873564,0.0000999980
47,0.20869604,0.0000999979
48,0.04379897,0.0000999978
49,0.04593543,0.0000999977
50,0.02493271,0.0000999976
51,0.03909010,0.0000999975
52,0.13957009,0.0000999974
53,0.07858473,0.0000999973
54,0.14848122,0.0000999972
55,0.07585990,0.0000999971
56,0.18295145,0.0000999970
57,0.43804979,0.0000999969
58,0.17037585,0.0000999968
59,0.06801533,0.0000999966
60,0.03164125,0.0000999965
61,0.07420611,0.0000999964
62,0.03580681,0.0000999963
63,0.08901343,0.0000999962
64,0.06302994,0.0000999961
65,0.08120930,0.0000999959
66,0.04657096,0.0000999958
67,0.09798727,0.0000999957
68,0.10695568,0.0000999955
69,0.06373111,0.0000999954
70,0.06842545,0.0000999953
71,0.08985326,0.0000999951
72,0.12521404,0.0000999950
73,0.07904804,0.0000999949
74,0.04382430,0.0000999947
75,0.07907265,0.0000999946
76,0.03838442,0.0000999944
77,0.06855774,0.0000999943
78,0.14655057,0.0000999941
79,0.12771784,0.0000999940
80,0.11649629,0.0000999938
81,0.06477393,0.0000999937
82,0.09789944,0.0000999935
83,0.10153621,0.0000999934
84,0.87413096,0.0000999932
85,0.18952376,0.0000999930
86,0.08656989,0.0000999929
87,0.05621964,0.0000999927
88,0.11635285,0.0000999925
89,0.06119264,0.0000999924
90,0.05694278,0.0000999922
91,0.07414027,0.0000999920
92,0.10505587,0.0000999919
93,0.07193589,0.0000999917
94,0.08674476,0.0000999915
95,0.04515065,0.0000999913
96,0.04137680,0.0000999911
97,0.68700707,0.0000999909
98,0.02933114,0.0000999908
99,0.54324645,0.0000999906
100,0.05977179,0.0000999904
101,0.07204314,0.0000999902
102,0.05258859,0.0000999900
103,0.06927772,0.0000999898
104,0.03902734,0.0000999896
105,0.09744872,0.0000999894
106,0.08111647,0.0000999892
107,0.06795992,0.0000999890
108,0.09969515,0.0000999888
109,0.05587543,0.0000999886
110,0.31745732,0.0000999883
111,0.04314633,0.0000999881
112,0.07175990,0.0000999879
113,0.08669417,0.0000999877
114,0.04586359,0.0000999875
115,0.06652565,0.0000999873
116,0.05007097,0.0000999870
117,0.17991428,0.0000999868
118,0.35879928,0.0000999866
119,0.14558607,0.0000999864
120,0.05476782,0.0000999861
121,0.05701346,0.0000999859
122,0.07409386,0.0000999857
123,0.08491673,0.0000999854
124,0.05800388,0.0000999852
125,0.07399949,0.0000999850
126,0.06964214,0.0000999847
127,0.20332246,0.0000999845
128,0.06786286,0.0000999842
129,0.09901851,0.0000999840
130,0.20532145,0.0000999837
131,0.13489059,0.0000999835
132,0.10832855,0.0000999832
133,0.13117683,0.0000999830
134,0.05370912,0.0000999827
135,0.06726387,0.0000999825
136,0.19221982,0.0000999822
137,0.05384306,0.0000999819
138,0.07026973,0.0000999817
139,0.09608324,0.0000999814
140,0.07468873,0.0000999811
141,0.10482314,0.0000999809
142,0.12939183,0.0000999806
143,0.08662462,0.0000999803
144,0.04934495,0.0000999800
145,0.15079659,0.0000999798
146,0.07134661,0.0000999795
147,0.04879688,0.0000999792
148,0.13526897,0.0000999789
149,0.05784580,0.0000999786
150,0.06834140,0.0000999783
151,0.10388042,0.0000999780
152,0.08059202,0.0000999778
153,0.07141615,0.0000999775
154,0.16080406,0.0000999772
155,0.12126976,0.0000999769
156,0.04980567,0.0000999766
157,0.12622373,0.0000999763
158,0.06415862,0.0000999760
159,0.04922843,0.0000999757
160,0.07835150,0.0000999754
161,0.04531855,0.0000999750
162,0.06770670,0.0000999747
163,0.05658316,0.0000999744
164,0.08887881,0.0000999741
165,0.05593814,0.0000999738
166,0.09824201,0.0000999735
167,0.08365217,0.0000999731
168,0.10110110,0.0000999728
169,0.09360576,0.0000999725
170,0.10304387,0.0000999722
171,0.08699911,0.0000999718
172,0.05789784,0.0000999715
173,0.11147692,0.0000999712
174,0.04231723,0.0000999709
175,0.05293036,0.0000999705
176,0.08568271,0.0000999702
177,0.05685831,0.0000999698
178,0.04908789,0.0000999695
179,0.18830630,0.0000999692
180,0.10086285,0.0000999688
181,0.07886699,0.0000999685
182,0.07024445,0.0000999681
183,0.05769539,0.0000999678
184,0.13732457,0.0000999674
185,0.07635392,0.0000999670
186,0.07370506,0.0000999667
187,0.04626955,0.0000999663
188,0.05507062,0.0000999660
189,0.07455808,0.0000999656
190,0.15497355,0.0000999652
191,0.05190770,0.0000999649
192,0.10920089,0.0000999645
193,0.06668910,0.0000999641
194,0.06604516,0.0000999638
195,0.12289831,0.0000999634
196,0.28615963,0.0000999630
197,0.05237818,0.0000999626
198,0.05339473,0.0000999623
199,0.31639653,0.0000999619
200,0.07311180,0.0000999615
201,0.07762787,0.0000999611
202,0.11521439,0.0000999607
203,0.09438262,0.0000999603
204,0.06849661,0.0000999599
205,0.11320411,0.0000999595
206,0.04768410,0.0000999591
207,0.05970899,0.0000999587
208,0.06740041,0.0000999583
209,0.06596090,0.0000999579
210,0.13384038,0.0000999575
211,0.03894603,0.0000999571
212,0.05010538,0.0000999567
213,0.06812742,0.0000999563
214,0.04738356,0.0000999559
215,0.17910989,0.0000999555
216,0.05888693,0.0000999551
217,0.04360772,0.0000999547
218,0.10343310,0.0000999542
219,0.10728847,0.0000999538
220,0.11084627,0.0000999534
221,0.18280619,0.0000999530
222,0.03217865,0.0000999526
223,0.06545736,0.0000999521
224,0.10219220,0.0000999517
225,0.07942498,0.0000999513
226,0.04056052,0.0000999508
227,0.11343466,0.0000999504
228,0.13526110,0.0000999500
229,0.09727979,0.0000999495
230,0.12187613,0.0000999491
231,0.04964175,0.0000999486
232,0.13828771,0.0000999482
233,0.07725596,0.0000999477
234,0.04893250,0.0000999473
235,0.12705036,0.0000999468
236,0.03859629,0.0000999464
237,0.05336809,0.0000999459
238,0.06123014,0.0000999455
239,0.04407985,0.0000999450
240,0.05645164,0.0000999445
241,0.07445937,0.0000999441
242,0.06847627,0.0000999436
243,0.12630318,0.0000999432
244,0.09206921,0.0000999427
245,0.02833715,0.0000999422
246,0.74155533,0.0000999417
247,0.03011633,0.0000999413
248,0.07934844,0.0000999408
249,0.09340520,0.0000999403
250,0.05359984,0.0000999398
251,0.04511245,0.0000999394
252,0.21958143,0.0000999389
253,0.10439174,0.0000999384
254,0.10245018,0.0000999379
255,0.08696228,0.0000999374
256,0.06709945,0.0000999369
257,0.08894549,0.0000999364
258,0.05653807,0.0000999359
259,0.09205068,0.0000999354
260,0.11160190,0.0000999349
261,0.05320052,0.0000999344
262,0.04935032,0.0000999339
263,0.04468028,0.0000999334
264,0.10034193,0.0000999329
265,0.09520547,0.0000999324
266,0.39472452,0.0000999319
267,0.10973296,0.0000999314
268,0.12157048,0.0000999309
269,0.04606684,0.0000999303
270,0.05920795,0.0000999298
271,0.06132651,0.0000999293
272,0.06294157,0.0000999288
273,0.07752523,0.0000999283
274,0.05714874,0.0000999277
275,0.05869343,0.0000999272
276,0.03272092,0.0000999267
277,0.09148913,0.0000999261
278,0.11372691,0.0000999256
279,0.25240573,0.0000999251
280,0.06256912,0.0000999245
281,0.06769806,0.0000999240
282,0.07137012,0.0000999234
283,0.16977701,0.0000999229
284,0.16015607,0.0000999224
285,0.06622387,0.0000999218
286,0.06936117,0.0000999213
287,0.12524316,0.0000999207
288,0.06129479,0.0000999202
289,0.05525806,0.0000999196
290,0.07966577,0.0000999190
291,0.05387338,0.0000999185
292,0.09145516,0.0000999179
293,0.08503191,0.0000999174
294,0.06524024,0.0000999168
295,0.13678414,0.0000999162
296,0.07147071,0.0000999157
297,0.03222679,0.0000999151
298,0.05363505,0.0000999145
299,0.06410702,0.0000999139
300,0.63758272,0.0000999134
301,0.18191598,0.0000999128
302,0.05353209,0.0000999122
303,0.12287195,0.0000999116
304,0.10631820,0.0000999110
305,0.05019572,0.0000999105
306,0.10822684,0.0000999099
307,0.04705466,0.0000999093
308,0.22070530,0.0000999087
309,0.06068810,0.0000999081
310,0.04666509,0.0000999075
311,0.05617473,0.0000999069
312,0.04547307,0.0000999063
313,0.05944168,0.0000999057
314,0.06854782,0.0000999051
315,0.08353313,0.0000999045
316,0.07932977,0.0000999039
317,0.06864369,0.0000999033
318,0.07712607,0.0000999027
319,0.15387903,0.0000999020
320,0.18864894,0.0000999014
321,0.08010354,0.0000999008
322,0.07126180,0.0000999002
323,0.05530392,0.0000998996
324,0.06403649,0.0000998990
325,0.36039379,0.0000998983
326,0.14132226,0.0000998977
327,0.16615525,0.0000998971
328,0.10145833,0.0000998964
329,0.07287865,0.0000998958
330,0.12792656,0.0000998952
331,0.07410919,0.0000998945
332,0.07305428,0.0000998939
333,0.06407339,0.0000998933
334,0.06629300,0.0000998926
335,0.26080155,0.0000998920
336,0.09077068,0.0000998913
337,0.04525824,0.0000998907
338,0.28251407,0.0000998900
339,0.06324574,0.0000998894
340,0.07341228,0.0000998887
341,0.03893151,0.0000998881
342,0.04616222,0.0000998874
343,0.08927385,0.0000998868
344,0.02253833,0.0000998861
345,0.19677417,0.0000998854
346,0.10991752,0.0000998848
347,0.20047934,0.0000998841
348,0.06162320,0.0000998834
349,0.05943506,0.0000998828
350,0.04314466,0.0000998821
351,0.10583436,0.0000998814
352,0.06530119,0.0000998807
353,0.05493849,0.0000998801
354,0.14057355,0.0000998794
355,0.04762963,0.0000998787
356,0.04799694,0.0000998780
357,0.04219748,0.0000998773
