step,loss,lr
1,0.09863632,0.0001000000
2,0.42371103,0.0001000000
3,0.14141765,0.0001000000
4,0.71762234,0.0001000000
5,0.17831841,0.0001000000
6,0.18893296,0.0001000000
7,0.19619563,0.0001000000
8,0.15020844,0.0000999999
9,0.07387310,0.0000999999
10,0.13342163,0.0000999999
11,0.03812853,0.0000999999
12,0.02838254,0.0000999999
13,0.06680837,0.0000999998
14,0.14079317,0.0000999998
15,0.11082920,0.0000999998
16,0.05486137,0.0000999998
17,0.09015814,0.0000999997
18,0.05059572,0.0000999997
19,0.10239347,0.0000999997
20,0.07150745,0.0000999996
21,0.04863298,0.0000999996
22,0.12563176,0.0000999995
23,0.08033272,0.0000999995
24,0.06507307,0.0000999994
25,0.22436790,0.0000999994
26,0.07676633,0.0000999993
27,0.10231870,0.0000999993
28,0.05773218,0.0000999992
29,0.06730752,0.0000999992
30,0.06342128,0.0000999991
31,0.14580214,0.0000999991
32,0.18697694,0.0000999990
33,0.18497817,0.0000999990
34,0.15407073,0.0000999989
35,0.10177302,0.0000999988
36,0.11470585,0.0000999988
37,0.16467834,0.0000999987
38,0.10853520,0.0000999986
39,0.11124350,0.0000999985
40,0.06632212,0.0000999985
41,0.06226868,0.0000999984
42,0.04859520,0.0000999983
43,0.17130256,0.0000999982
44,0.12558891,0.0000999981
45,0.17585112,0.0000999981
46,0.16707519,0.0000999980
47,0.14651728,0.0000999979
48,0.04585957,0.0000999978
49,0.13374041,0.0000999977
50,0.09555685,0.0000999976
51,0.26170090,0.0000999975
52,0.03379792,0.0000999974
53,0.09084871,0.0000999973
54,0.33153361,0.0000999972
55,0.07526481,0.0000999971
56,0.18461606,0.0000999970
57,0.12035923,0.0000999969
58,0.23601852,0.0000999968
59,0.14938548,0.0000999966
60,0.10180669,0.0000999965
61,0.09932543,0.0000999964
62,0.07808851,0.0000999963
63,0.08586293,0.0000999962
64,0.07740942,0.0000999961
65,0.27204603,0.0000999959
66,0.23903799,0.0000999958
67,0.09643022,0.0000999957
68,0.02740893,0.0000999955
69,0.04282035,0.0000999954
70,0.17363568,0.0000999953
71,0.06861974,0.0000999951
72,0.06702866,0.0000999950
73,0.09404598,0.0000999949
74,0.09729072,0.0000999947
75,0.05885852,0.0000999946
76,0.09108721,0.0000999944
77,0.10102802,0.0000999943
78,0.06121432,0.0000999941
79,0.07885651,0.0000999940
80,0.07222503,0.0000999938
