step,loss,lr
1,0.15901363,0.0001000000
2,0.06881728,0.0001000000
3,0.07949747,0.0001000000
4,0.15821992,0.0001000000
5,0.12459665,0.0001000000
6,0.04877178,0.0001000000
7,0.15649945,0.0001000000
8,0.04952545,0.0000999999
9,0.08617017,0.0000999999
10,0.11113077,0.0000999999
11,0.11770982,0.0000999999
12,0.08414707,0.0000999999
13,0.31082335,0.0000999998
14,0.14575316,0.0000999998
15,0.06085748,0.0000999998
16,0.07176626,0.0000999998
17,0.09008610,0.0000999997
18,0.20792389,0.0000999997
19,0.06662226,0.0000999997
20,0.08179757,0.0000999996
21,0.17231590,0.0000999996
22,0.16510466,0.0000999995
23,0.07565793,0.0000999995
24,0.08018062,0.0000999994
25,0.19485444,0.0000999994
26,0.12427802,0.0000999993
27,0.18176697,0.0000999993
28,0.07068171,0.0000999992
29,0.05956005,0.0000999992
30,0.09087285,0.0000999991
31,0.05858260,0.0000999991
32,0.04868721,0.0000999990
33,0.32888535,0.0000999990
34,0.14012706,0.0000999989
35,0.05388882,0.0000999988
36,0.04943654,0.0000999988
37,0.13694867,0.0000999987
38,0.09025770,0.0000999986
39,0.06655259,0.0000999985
40,0.05073578,0.0000999985
41,0.12435615,0.0000999984
42,0.03066388,0.0000999983
43,0.04117931,0.0000999982
44,0.04060381,0.0000999981
45,0.12398271,0.0000999981
46,0.10194428,0.0000999980
47,0.13664508,0.0000999979
48,0.08457084,0.0000999978
49,0.04997931,0.0000999977
50,0.06272046,0.0000999976
51,0.08654912,0.0000999975
52,0.10753204,0.0000999974
53,0.05737460,0.0000999973
54,0.75223112,0.0000999972
55,0.05856226,0.0000999971
56,0.12459268,0.0000999970
57,0.09076570,0.0000999969
58,0.06861219,0.0000999968
59,0.07386836,0.0000999966
60,0.12044890,0.0000999965
61,0.10574847,0.0000999964
62,0.06301425,0.0000999963
63,0.06766833,0.0000999962
64,0.05542031,0.0000999961
65,0.13482775,0.0000999959
66,0.08823878,0.0000999958
67,0.07096322,0.0000999957
68,0.03274962,0.0000999955
69,0.13005333,0.0000999954
70,0.09013881,0.0000999953
71,0.08473928,0.0000999951
72,0.06171071,0.0000999950
73,0.04425829,0.0000999949
74,0.07284112,0.0000999947
75,0.09462593,0.0000999946
76,0.08143273,0.0000999944
77,0.23943301,0.0000999943
78,0.11831130,0.0000999941
79,0.07187808,0.0000999940
80,0.03833793,0.0000999938
81,0.06883720,0.0000999937
82,0.17287357,0.0000999935
83,0.05010726,0.0000999934
84,0.03238112,0.0000999932
85,0.05108661,0.0000999930
86,0.03723447,0.0000999929
87,0.11536616,0.0000999927
88,0.08453524,0.0000999925
89,0.09466279,0.0000999924
90,0.10333084,0.0000999922
91,0.04861403,0.0000999920
92,0.04659735,0.0000999919
93,0.17075795,0.0000999917
94,0.39624724,0.0000999915
95,0.06310215,0.0000999913
96,0.16506752,0.0000999911
97,0.05802521,0.0000999909
98,0.13098918,0.0000999908
99,0.07114953,0.0000999906
100,0.08496511,0.0000999904
101,0.11703974,0.0000999902
102,0.18788542,0.0000999900
103,0.04207242,0.0000999898
104,0.09309477,0.0000999896
105,0.06504346,0.0000999894
106,0.07509263,0.0000999892
107,0.27972162,0.0000999890
108,0.03449247,0.0000999888
109,0.04956110,0.0000999886
110,0.06725995,0.0000999883
111,0.07640040,0.0000999881
112,0.12183718,0.0000999879
113,0.03819112,0.0000999877
114,0.12030113,0.0000999875
115,0.06506716,0.0000999873
116,0.03512065,0.0000999870
117,0.13774508,0.0000999868
118,0.03137831,0.0000999866
119,0.07208362,0.0000999864
120,0.30080494,0.0000999861
121,0.05487267,0.0000999859
122,0.07677160,0.0000999857
123,0.03873084,0.0000999854
124,0.10064815,0.0000999852
125,0.18769760,0.0000999850
126,0.08028873,0.0000999847
127,0.41178644,0.0000999845
128,0.08352552,0.0000999842
129,0.11423036,0.0000999840
130,0.06423859,0.0000999837
131,0.08574910,0.0000999835
132,0.13424276,0.0000999832
133,0.15431200,0.0000999830
134,0.09313073,0.0000999827
135,0.08293184,0.0000999825
