step,loss,lr
1,0.04377012,0.0000079999
2,0.27360240,0.0000079997
3,0.02233393,0.0000079993
4,0.34369630,0.0000079988
5,0.06453077,0.0000079981
6,0.02177528,0.0000079972
7,0.11254788,0.0000079962
8,0.17222986,0.0000079950
9,0.19535422,0.0000079937
10,0.01874811,0.0000079922
11,0.02394620,0.0000079906
12,0.03895889,0.0000079888
13,0.37888205,0.0000079868
14,0.08812293,0.0000079847
15,0.01696189,0.0000079825
16,0.07363961,0.0000079801
17,0.01030393,0.0000079775
18,0.26359257,0.0000079748
19,0.13952923,0.0000079719
20,0.08991255,0.0000079689
21,0.05105021,0.0000079657
22,0.31300330,0.0000079623
23,0.27494872,0.0000079588
24,0.02186543,0.0000079552
25,0.04738336,0.0000079514
26,0.25433746,0.0000079474
27,0.03437766,0.0000079433
28,0.25876525,0.0000079390
29,0.18994965,0.0000079346
30,0.00859891,0.0000079300
31,0.08450115,0.0000079253
32,0.03118135,0.0000079204
33,0.12034106,0.0000079154
34,0.02493979,0.0000079102
35,0.14055106,0.0000079049
36,0.02162420,0.0000078994
37,0.44280976,0.0000078937
38,0.14678341,0.0000078879
39,0.01981305,0.0000078820
40,0.11730737,0.0000078759
41,0.25782454,0.0000078697
42,0.13902220,0.0000078633
43,0.27301601,0.0000078567
44,0.02286012,0.0000078500
45,0.15847014,0.0000078432
46,0.01408999,0.0000078362
47,0.03010880,0.0000078290
48,0.05920905,0.0000078217
49,0.01095313,0.0000078143
50,0.13095756,0.0000078067
51,0.02379625,0.0000077989
52,0.54763019,0.0000077910
53,0.22175111,0.0000077830
54,0.02296543,0.0000077748
55,0.12338329,0.0000077665
56,0.02629447,0.0000077580
57,0.10477296,0.0000077494
58,0.07096477,0.0000077406
59,0.10716490,0.0000077317
60,0.13070834,0.0000077226
61,0.30049053,0.0000077134
62,0.11677129,0.0000077041
63,0.24339946,0.0000076946
64,0.02003391,0.0000076849
65,0.03914792,0.0000076751
66,0.08707023,0.0000076652
67,0.12410256,0.0000076551
68,0.42014474,0.0000076449
69,0.00736673,0.0000076346
70,0.02026398,0.0000076241
71,0.01971467,0.0000076134
72,0.10692242,0.0000076027
73,0.29757270,0.0000075917
74,0.17033778,0.0000075807
75,0.07765935,0.0000075695
76,0.14174579,0.0000075581
77,0.01400807,0.0000075467
78,0.03713250,0.0000075351
79,0.03839833,0.0000075233
80,0.06844910,0.0000075114
81,0.01551968,0.0000074994
82,0.14447314,0.0000074872
83,0.01525830,0.0000074749
84,0.11768889,0.0000074625
85,0.04760330,0.0000074499
86,0.28071955,0.0000074372
87,0.36148223,0.0000074244
88,0.04440891,0.0000074114
89,0.13702640,0.0000073983
90,0.19613479,0.0000073851
91,0.07082409,0.0000073717
92,0.27531117,0.0000073582
93,0.03786829,0.0000073446
94,0.07202431,0.0000073309
95,0.18206067,0.0000073170
96,0.02594468,0.0000073030
97,0.14983575,0.0000072888
98,0.24715881,0.0000072745
99,0.13376530,0.0000072601
100,0.05943822,0.0000072456
101,0.01246694,0.0000072310
102,0.23474108,0.0000072162
103,0.03311826,0.0000072013
104,0.07266016,0.0000071863
105,0.02430989,0.0000071711
106,0.09009191,0.0000071558
107,0.01969869,0.0000071404
108,0.28756157,0.0000071249
109,0.12956935,0.0000071093
110,0.11410653,0.0000070935
111,0.02835221,0.0000070776
112,0.23914900,0.0000070616
113,0.20271000,0.0000070455
114,0.15990281,0.0000070293
115,0.08390793,0.0000070129
116,0.01521296,0.0000069965
117,0.20550025,0.0000069799
118,0.01041774,0.0000069632
119,0.08281799,0.0000069464
120,0.26806283,0.0000069294
121,0.15399143,0.0000069124
122,0.25744411,0.0000068952
123,0.03730211,0.0000068779
124,0.08838300,0.0000068606
125,0.11487531,0.0000068431
126,0.05496056,0.0000068255
127,0.05143693,0.0000068078
128,0.04712939,0.0000067899
129,0.31099814,0.0000067720
130,0.03368365,0.0000067540
131,0.14623587,0.0000067358
132,0.25001165,0.0000067176
133,0.27316436,0.0000066992
134,0.01408341,0.0000066807
135,0.02006193,0.0000066622
136,0.03076505,0.0000066435
137,0.11385147,0.0000066247
138,0.02840296,0.0000066059
139,0.13437200,0.0000065869
140,0.10445839,0.0000065678
141,0.14816566,0.0000065487
